City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Puerto Ayora,EC,76.96,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
2,Sinnamary,GF,83.17,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
3,Bengkulu,ID,77.52,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
6,Santa Rosa,PH,84.18,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
11,Rikitea,PF,75.78,light rain,-23.1203,-134.9692,People ThankYou
17,El Tarra,CO,89.58,overcast clouds,8.5756,-73.0949,Casa juvenil Sor Amanda Bedoya
29,Tabou,CI,84.6,overcast clouds,4.423,-7.3528,hotêl doufoulougou
30,Paramirim,BR,84.11,few clouds,-13.4425,-42.2389,Pousada Rio Pequeno
31,Pimentel,PE,75.49,clear sky,-6.8367,-79.9342,Hotel Puerto del Sol
32,Russell,US,78.96,scattered clouds,32.3502,-85.1999,Macs
33,Lorengau,PG,80.55,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
37,Mahebourg,MU,77.29,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
41,Gondanglegi,ID,75.88,overcast clouds,-7.7479,112.0132,pondok pesantren mamba'ul 'ulum selo rejo
44,Muros,ES,77.68,clear sky,42.7762,-9.0603,Apartment Av. Castelao
47,Karratha,AU,78.31,overcast clouds,-20.7377,116.8463,ibis Styles Karratha
48,Butaritari,KI,80.65,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
50,Hithadhoo,MV,85.8,broken clouds,-0.6,73.0833,Scoop Guest House
53,Olinda,BR,83.93,broken clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
58,Mangrol,IN,83.61,clear sky,21.1167,70.1167,Hotel The Royal Honours
59,Maumere,ID,80.67,overcast clouds,-8.6199,122.2111,Sylvia Hotel
62,Cabo San Lucas,MX,81.61,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
65,Ternate,ID,81.59,light rain,0.8,127.4,Sahid Bela Ternate Hotel
69,Saint-Philippe,RE,78.39,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
70,Arraial Do Cabo,BR,76.86,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
77,Atuona,PF,78.04,light rain,-9.8,-139.0333,Villa Enata
80,Namibe,AO,76.32,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
83,Vaini,TO,75.36,light intensity shower rain,-21.2,-175.2,Keleti Beach Resort
85,Komsomolskiy,UZ,75.92,clear sky,40.4272,71.7189,Ikathouse
92,Dingle,PH,77.88,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
96,Vila Velha,BR,87.75,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
108,Inhambane,MZ,76.98,few clouds,-23.865,35.3833,Oceano
112,Bambous Virieux,MU,77.25,light rain,-20.3428,57.7575,Casa Tia Villa
113,Ponta Do Sol,PT,76.71,clear sky,32.6667,-17.1,Hotel do Campo
117,Cabedelo,BR,86.67,broken clouds,-6.9811,-34.8339,Hotel Pigalle
129,Acapulco,MX,82.22,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
131,Raghunathpur,IN,86.88,broken clouds,23.55,86.6667,Sakampuri Pvt Ltd
133,Georgetown,MY,84.13,few clouds,5.4112,100.3354,Cititel Penang
138,Cap Malheureux,MU,76.46,scattered clouds,-19.9842,57.6142,Pereybere Hotel & Spa
139,Ambilobe,MG,75.49,scattered clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
140,Buluang,PH,76.51,overcast clouds,13.3068,123.3425,Sacueza Beach Resort
143,Bubaque,GW,78.71,scattered clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
148,Summerville,US,78.91,few clouds,33.0185,-80.1757,Sleep Inn Summerville-Charleston
149,Cam Ranh,VN,76.96,scattered clouds,11.9214,109.1591,OYO 598 Peony Hotel
152,Sampit,ID,75.15,moderate rain,-2.5333,112.95,Aquarius Boutique Hotel Sampit
159,Biak,ID,76.77,overcast clouds,-0.9131,122.8766,Penginapan Kim
166,Dhidhdhoo,MV,86.18,overcast clouds,6.8833,73.1,Dhidhoo beach
168,Pacatuba,BR,85.37,scattered clouds,-3.9842,-38.6203,Pousada das Andreias
174,Nurota,UZ,76.1,broken clouds,40.5614,65.6886,Guest House Ruslan Nurata & Tours
182,Natal,BR,88.02,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
183,Touros,BR,85.95,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
184,Auki,SB,77.67,overcast clouds,-8.7676,160.7034,Auki Motel
185,Hambantota,LK,82.11,overcast clouds,6.1241,81.1185,Bungalow 63
189,Port Hedland,AU,75.25,broken clouds,-20.3167,118.5667,The Esplanade Hotel
192,Itaituba,BR,87.96,broken clouds,-4.2761,-55.9836,Hotel Campos
193,Labuhan,ID,78.26,overcast clouds,-6.8844,112.2051,DoubleFAG
205,San Policarpo,PH,80.85,overcast clouds,12.1791,125.5072,Agapita M. Nicart
207,Assomada,CV,76.55,broken clouds,15.1,-23.6833,Residencial Cosmos
208,Manali,IN,87.89,clear sky,13.1667,80.2667,Sarathy Lodge
218,Avarua,CK,77.05,scattered clouds,-21.2078,-159.775,Paradise Inn
